name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
M249 | Contrast Spray (Battle-Scarred),M249 | Contrast Spray (Battle-Scarred),104,13,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901584956', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhzw8zbYS9D9eO-kYGdjrnyMOjTkGkCuJYh3-qUrN-i3Ay3qEo6MGmiJYPGdwI9NVrZqVjsl-y7m9bi66ggGMLw', 'tradable': 1, 'name': 'M249 | Contrast Spray (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Machinegun', 'market_name': 'M249 | Contrast Spray (Battle-Scarred)', 'market_hash_name': 'M249 | Contrast Spray (Battle-Scarred)', 'commodity': 0}",$0.12
M249 | Contrast Spray (Factory New),M249 | Contrast Spray (Factory New),43,203,$2.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '520015043', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhzw8zbYS9D9eO6nYeDg7mlau6FlG9SuMFy2-yQpYnwilGxqBZrNWr3cYTHe1A2NF3R_1i4levqm9bi6zy-BOh7', 'tradable': 1, 'name': 'M249 | Contrast Spray (Factory New)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Machinegun', 'market_name': 'M249 | Contrast Spray (Factory New)', 'market_hash_name': 'M249 | Contrast Spray (Factory New)', 'commodity': 0}",$1.95
M249 | Contrast Spray (Field-Tested),M249 | Contrast Spray (Field-Tested),398,13,$0.13,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '519981908', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhzw8zbYS9D9eO7kYSCgvq6Nb2AzzwD6sAm3OiXpt-giQXsrUM_MmmlIYeXJw5oaQqG8lC4wufugYj84sqCAKOPhQ', 'tradable': 1, 'name': 'M249 | Contrast Spray (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Machinegun', 'market_name': 'M249 | Contrast Spray (Field-Tested)', 'market_hash_name': 'M249 | Contrast Spray (Field-Tested)', 'commodity': 0}",$0.12
M249 | Contrast Spray (Minimal Wear),M249 | Contrast Spray (Minimal Wear),138,27,$0.27,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901979199', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhzw8zbYS9D9eO6nYeDg7mlau6FlG9SuMFy2-yQpYnwilGxqBZrNWr3cYTHe1A2NF3R_1i4levqm9bi6zy-BOh7', 'tradable': 1, 'name': 'M249 | Contrast Spray (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Machinegun', 'market_name': 'M249 | Contrast Spray (Minimal Wear)', 'market_hash_name': 'M249 | Contrast Spray (Minimal Wear)', 'commodity': 0}",$0.26
M249 | Contrast Spray (Well-Worn),M249 | Contrast Spray (Well-Worn),418,15,$0.15,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '519985972', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhzw8zbYS9D9eO7kYSCgvq6Nb2AzzwD6sAm3OiXpt-giQXsrUM_MmmlIYeXJw5oaQqG8lC4wufugYj84sqCAKOPhQ', 'tradable': 1, 'name': 'M249 | Contrast Spray (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade Machinegun', 'market_name': 'M249 | Contrast Spray (Well-Worn)', 'market_hash_name': 'M249 | Contrast Spray (Well-Worn)', 'commodity': 0}",$0.14
M249 | Deep Relief (Battle-Scarred),M249 | Deep Relief (Battle-Scarred),339,10,$0.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900241372', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhjxszFI2kb09izkZC0hfL4Or7XqWNU6dNoxOjF9Nqk3gzh_EtrZW_1LNOScAU6aAnSqQe_x-js1pe06ZvOzCdivHU8pSGKRlhgDvU', 'tradable': 1, 'name': 'M249 | Deep Relief (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Machinegun', 'market_name': 'M249 | Deep Relief (Battle-Scarred)', 'market_hash_name': 'M249 | Deep Relief (Battle-Scarred)', 'commodity': 0}",$0.09
M249 | Deep Relief (Factory New),M249 | Deep Relief (Factory New),88,39,$0.39,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901502242', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhjxszFI2kb09izkZC0hfL4Or7XqWdY781lxLuToo2l2QHl8xVoZjqhdoDEdgU3aVmF-Vfsxui5g5a7tJifwHJrv3I8pSGKSNSvaWw', 'tradable': 1, 'name': 'M249 | Deep Relief (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Machinegun', 'market_name': 'M249 | Deep Relief (Factory New)', 'market_hash_name': 'M249 | Deep Relief (Factory New)', 'commodity': 0}",$0.38
M249 | Deep Relief (Field-Tested),M249 | Deep Relief (Field-Tested),454,10,$0.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4122763146', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhjxszFI2kb09izkZC0hfL4Or7XqWZU7Mxkh6eYrI6h3QDs_BJuMGimIoedcQBrZ1vW8lG9yLvn18Xu6pjMyCMw6Ccj-z-DyHVVC6So', 'tradable': 1, 'name': 'M249 | Deep Relief (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Machinegun', 'market_name': 'M249 | Deep Relief (Field-Tested)', 'market_hash_name': 'M249 | Deep Relief (Field-Tested)', 'commodity': 0}",$0.09
M249 | Deep Relief (Minimal Wear),M249 | Deep Relief (Minimal Wear),73,19,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901463213', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhjxszFI2kb09izkZC0hfL4Or7XqWdY781lxLuToo2l2QHl8xVoZjqhdoDEdgU3aVmF-Vfsxui5g5a7tJifwHJrv3I8pSGKSNSvaWw', 'tradable': 1, 'name': 'M249 | Deep Relief (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Machinegun', 'market_name': 'M249 | Deep Relief (Minimal Wear)', 'market_hash_name': 'M249 | Deep Relief (Minimal Wear)', 'commodity': 0}",$0.18
M249 | Deep Relief (Well-Worn),M249 | Deep Relief (Well-Worn),437,10,$0.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901468769', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou-jxcjhjxszFI2kb09izkZC0hfL4Or7XqWZU7Mxkh6eYrI6h3QDs_BJuMGimIoedcQBrZ1vW8lG9yLvn18Xu6pjMyCMw6Ccj-z-DyHVVC6So', 'tradable': 1, 'name': 'M249 | Deep Relief (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Machinegun', 'market_name': 'M249 | Deep Relief (Well-Worn)', 'market_hash_name': 'M249 | Deep Relief (Well-Worn)', 'commodity': 0}",$0.09
