name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
CZ75-Auto | Crimson Web (Factory New),CZ75-Auto | Crimson Web (Factory New),20,1255,$12.55,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901603688', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf2-r3ZjhA_-O6nYeDg7mmY-KClD8C6cB3i7GT8Imj3wXnqEdrYWr7INPEcA49NwyE_lXowezsm9bi61EmokZ_', 'tradable': 1, 'name': 'CZ75-Auto | Crimson Web (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Crimson Web (Factory New)', 'market_hash_name': 'CZ75-Auto | Crimson Web (Factory New)', 'commodity': 0}",$12.01
CZ75-Auto | Crimson Web (Field-Tested),CZ75-Auto | Crimson Web (Field-Tested),310,87,$0.87,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3709575451', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf2-r3ZjhA_-O7kYSCgvq6Yr2JxzsH7p0liLrE8N6l3VC2qkNlazjzI46XIwI4YAnVqFfvkO680Yj84sprkgvLPQ', 'tradable': 1, 'name': 'CZ75-Auto | Crimson Web (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Crimson Web (Field-Tested)', 'market_hash_name': 'CZ75-Auto | Crimson Web (Field-Tested)', 'commodity': 0}",$0.84
CZ75-Auto | Crimson Web (Minimal Wear),CZ75-Auto | Crimson Web (Minimal Wear),165,105,$1.05,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4452388490', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf2-r3ZjhA_-O6nYeDg7mmY-KClD8C6cB3i7GT8Imj3wXnqEdrYWr7INPEcA49NwyE_lXowezsm9bi61EmokZ_', 'tradable': 1, 'name': 'CZ75-Auto | Crimson Web (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Crimson Web (Minimal Wear)', 'market_hash_name': 'CZ75-Auto | Crimson Web (Minimal Wear)', 'commodity': 0}",$1.01
CZ75-Auto | Crimson Web (Well-Worn),CZ75-Auto | Crimson Web (Well-Worn),95,74,$0.74,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '350495596', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf2-r3ZjhA_-O7kYSCgvq6Yr2JxzsH7p0liLrE8N6l3VC2qkNlazjzI46XIwI4YAnVqFfvkO680Yj84sprkgvLPQ', 'tradable': 1, 'name': 'CZ75-Auto | Crimson Web (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Crimson Web (Well-Worn)', 'market_hash_name': 'CZ75-Auto | Crimson Web (Well-Worn)', 'commodity': 0}",$0.71
CZ75-Auto | Distressed (Battle-Scarred),CZ75-Auto | Distressed (Battle-Scarred),2642,6,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901468391', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueO1kZKKnPjgNoTZk2pH8Ysn0ruQpoqnjALlrRJlMDqhJoOdew4-N1HU81O6x-rpjZDtvJ-dyXo1pGB8srmu1rON', 'tradable': 1, 'name': 'CZ75-Auto | Distressed (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Distressed (Battle-Scarred)', 'market_hash_name': 'CZ75-Auto | Distressed (Battle-Scarred)', 'commodity': 0}",$0.05
CZ75-Auto | Distressed (Factory New),CZ75-Auto | Distressed (Factory New),346,19,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901497694', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueO1kZKKnPjgNoTdn2xZ_IsjjLGTrdr00Ve1-UBtYDrxJ9WTJg9vNVCE-wK3xejqhcPqtJjPmnFkpGB8stao0_46', 'tradable': 1, 'name': 'CZ75-Auto | Distressed (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Distressed (Factory New)', 'market_hash_name': 'CZ75-Auto | Distressed (Factory New)', 'commodity': 0}",$0.18
CZ75-Auto | Distressed (Field-Tested),CZ75-Auto | Distressed (Field-Tested),3010,7,$0.07,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901467843', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueO1kZKKnPjgNoTck29Y_cg_3-zD9tWs2lXjrUc9Zj_6do-UJwVvYFHSrwfsxuy5hJXuv53PwCY3vz5iuyhnSBiYug', 'tradable': 1, 'name': 'CZ75-Auto | Distressed (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Distressed (Field-Tested)', 'market_hash_name': 'CZ75-Auto | Distressed (Field-Tested)', 'commodity': 0}",$0.06
CZ75-Auto | Distressed (Minimal Wear),CZ75-Auto | Distressed (Minimal Wear),2766,9,$0.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4872889760', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueO1kZKKnPjgNoTdn2xZ_IsjjLGTrdr00Ve1-UBtYDrxJ9WTJg9vNVCE-wK3xejqhcPqtJjPmnFkpGB8stao0_46', 'tradable': 1, 'name': 'CZ75-Auto | Distressed (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Distressed (Minimal Wear)', 'market_hash_name': 'CZ75-Auto | Distressed (Minimal Wear)', 'commodity': 0}",$0.08
CZ75-Auto | Distressed (Well-Worn),CZ75-Auto | Distressed (Well-Worn),3308,7,$0.07,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901461380', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueO1kZKKnPjgNoTck29Y_cg_3-zD9tWs2lXjrUc9Zj_6do-UJwVvYFHSrwfsxuy5hJXuv53PwCY3vz5iuyhnSBiYug', 'tradable': 1, 'name': 'CZ75-Auto | Distressed (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Pistol', 'market_name': 'CZ75-Auto | Distressed (Well-Worn)', 'market_hash_name': 'CZ75-Auto | Distressed (Well-Worn)', 'commodity': 0}",$0.06
CZ75-Auto | Eco (Battle-Scarred),CZ75-Auto | Eco (Battle-Scarred),230,47,$0.47,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901464734', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0Ob3cicVueOzl4-0n_L1JaKfwztXuJR1i7yRpImk3VLhrhE9MT2hdoWScwc4ZQ6C_ge9wOzmgsW46YOJlyX-1jD_KA', 'tradable': 1, 'name': 'CZ75-Auto | Eco (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted Pistol', 'market_name': 'CZ75-Auto | Eco (Battle-Scarred)', 'market_hash_name': 'CZ75-Auto | Eco (Battle-Scarred)', 'commodity': 0}",$0.45
