success,price_prefix,price_suffix,name,date,price,volume
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 03 2015 01: +0,0.218,993
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 04 2015 01: +0,0.218,1168
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 05 2015 01: +0,0.197,2385
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 06 2015 01: +0,0.191,1456
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 07 2015 01: +0,0.2,1689
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 08 2015 01: +0,0.206,1351
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 09 2015 01: +0,0.202,1238
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 10 2015 01: +0,0.207,1159
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 11 2015 01: +0,0.206,1022
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 12 2015 01: +0,0.181,2094
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 13 2015 01: +0,0.182,1606
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 14 2015 01: +0,0.175,1633
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 15 2015 01: +0,0.146,1721
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 16 2015 01: +0,0.158,1493
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 17 2015 01: +0,0.157,1225
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 18 2015 01: +0,0.161,1044
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 19 2015 01: +0,0.139,2124
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 20 2015 01: +0,0.124,1611
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 21 2015 01: +0,0.134,1859
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 22 2015 01: +0,0.158,1697
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 23 2015 01: +0,0.143,1850
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 24 2015 01: +0,0.172,1545
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 25 2015 01: +0,0.213,1230
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 26 2015 01: +0,0.179,2238
True,$,,CZ75-Auto | Army Sheen (Factory New),Aug 27 2015 01: +0,0.172,2034
