name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
MAC-10 | Amber Fade (Field-Tested),MAC-10 | Amber Fade (Field-Tested),38,646,$6.46,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4461890394', 'instanceid': '480085687', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0vL3dzxG6eO7kZSKm_v9MITck29Y_cg_27qY99v23ATk_RZlZm2gcdeXdwQ8N1DU_VTqxOvm05a-6MzIznZksz5iuyjG2xkMAQ', 'tradable': 1, 'name': 'MAC-10 | Amber Fade (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Amber Fade (Field-Tested)', 'market_hash_name': 'MAC-10 | Amber Fade (Field-Tested)', 'commodity': 0}",$6.18
MAC-10 | Amber Fade (Minimal Wear),MAC-10 | Amber Fade (Minimal Wear),45,697,$6.97,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4894039072', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0vL3dzxG6eO7kZSKm_v9MITdn2xZ_Isgi--V9NWmjVLhrRY5Yj_yIYeVJgU4ZQ7V_gW_kOnshZK7uJXPySc1pGB8stDfIj7b', 'tradable': 1, 'name': 'MAC-10 | Amber Fade (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Amber Fade (Minimal Wear)', 'market_hash_name': 'MAC-10 | Amber Fade (Minimal Wear)', 'commodity': 0}",$6.67
MAC-10 | Amber Fade (Well-Worn),MAC-10 | Amber Fade (Well-Worn),8,1038,$10.38,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901088712', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0vL3dzxG6eO7kZSKm_v9MITck29Y_cg_27qY99v23ATk_RZlZm2gcdeXdwQ8N1DU_VTqxOvm05a-6MzIznZksz5iuyjG2xkMAQ', 'tradable': 1, 'name': 'MAC-10 | Amber Fade (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Amber Fade (Well-Worn)', 'market_hash_name': 'MAC-10 | Amber Fade (Well-Worn)', 'commodity': 0}",$9.93
MAC-10 | Button Masher (Battle-Scarred),MAC-10 | Button Masher (Battle-Scarred),395,25,$0.25,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4428793256', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJhI-Zg_b2P77unm5Q_tw_iL7C94rw3QOyqURpZ2nyIYXBdgVoZF_Q-wC2k-66hZS1uM_MzXM36D5iuyjgK8ykGQ', 'tradable': 1, 'name': 'MAC-10 | Button Masher (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Button Masher (Battle-Scarred)', 'market_hash_name': 'MAC-10 | Button Masher (Battle-Scarred)', 'commodity': 0}",$0.24
MAC-10 | Button Masher (Factory New),MAC-10 | Button Masher (Factory New),46,133,$1.33,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902777758', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJhI-Zg_b2P77ummJW4NE_jr3ErNuk2gO18kE5MDuiJYSdegJrZAmG-lm9kL_ngZC0uZnBzyBgsz5iuyiifuIW4A', 'tradable': 1, 'name': 'MAC-10 | Button Masher (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Button Masher (Factory New)', 'market_hash_name': 'MAC-10 | Button Masher (Factory New)', 'commodity': 0}",$1.28
MAC-10 | Button Masher (Field-Tested),MAC-10 | Button Masher (Field-Tested),813,24,$0.24,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902752132', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJhI-Zg_b2P77um25V4dB8xLzCoN_zi1Wy_Bc_Y2micYOTcA82Mg3Y_FC5l7jnjZHv6MycwHZnviY8pSGKRYV3ALM', 'tradable': 1, 'name': 'MAC-10 | Button Masher (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Button Masher (Field-Tested)', 'market_hash_name': 'MAC-10 | Button Masher (Field-Tested)', 'commodity': 0}",$0.23
MAC-10 | Button Masher (Minimal Wear),MAC-10 | Button Masher (Minimal Wear),146,53,$0.53,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900200680', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJhI-Zg_b2P77ummJW4NE_jr3ErNuk2gO18kE5MDuiJYSdegJrZAmG-lm9kL_ngZC0uZnBzyBgsz5iuyiifuIW4A', 'tradable': 1, 'name': 'MAC-10 | Button Masher (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Button Masher (Minimal Wear)', 'market_hash_name': 'MAC-10 | Button Masher (Minimal Wear)', 'commodity': 0}",$0.51
MAC-10 | Button Masher (Well-Worn),MAC-10 | Button Masher (Well-Worn),544,24,$0.24,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4897686542', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJhI-Zg_b2P77um25V4dB8xLzCoN_zi1Wy_Bc_Y2micYOTcA82Mg3Y_FC5l7jnjZHv6MycwHZnviY8pSGKRYV3ALM', 'tradable': 1, 'name': 'MAC-10 | Button Masher (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Button Masher (Well-Worn)', 'market_hash_name': 'MAC-10 | Button Masher (Well-Worn)', 'commodity': 0}",$0.23
MAC-10 | Calf Skin (Battle-Scarred),MAC-10 | Calf Skin (Battle-Scarred),1905,8,$0.08,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3035577699', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf1OD3fDxBvYyJl4iOlPzxIYTZk2pH8Ytw3bHFpN-l31Xlr0JuN2DxdoHBcgBsZlyD8lbvxuvqg8S-7pvKz3UypGB8sgOmFYSb', 'tradable': 1, 'name': 'MAC-10 | Calf Skin (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade SMG', 'market_name': 'MAC-10 | Calf Skin (Battle-Scarred)', 'market_hash_name': 'MAC-10 | Calf Skin (Battle-Scarred)', 'commodity': 0}",$0.07
MAC-10 | Calf Skin (Factory New),MAC-10 | Calf Skin (Factory New),284,37,$0.37,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4896488344', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf1OD3fDxBvYyJl4iOlPzxIYTdn2xZ_Isg3-yVrN-j0A3trRE6MDj0d4OcegZsNFDT81i9lOvo1MXtuJnPzXBhpGB8slmFggwG', 'tradable': 1, 'name': 'MAC-10 | Calf Skin (Factory New)', 'name_color': 'D2D2D2', 'type': 'Industrial Grade SMG', 'market_name': 'MAC-10 | Calf Skin (Factory New)', 'market_hash_name': 'MAC-10 | Calf Skin (Factory New)', 'commodity': 0}",$0.36
