name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
P90 | Blind Spot (Well-Worn),P90 | Blind Spot (Well-Worn),27,625,$6.25,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901594632', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957P7HdS5S48ilq42Ok_7hPvWDwWhXu5N10-_FpYql3w2x_kE4az_6dtDAIQJqZ1yB-gLsk-rn1564ot2XnowHKnPt', 'tradable': 1, 'name': 'P90 | Blind Spot (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Blind Spot (Well-Worn)', 'market_hash_name': 'P90 | Blind Spot (Well-Worn)', 'commodity': 0}",$5.98
P90 | Chopper (Battle-Scarred),P90 | Chopper (Battle-Scarred),306,40,$0.40,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4897721174', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FABz7OORIQJE-dC6q5SDhfjgJ7fUqWNU6dNoxL6TrIit0FG1rxdtMDz2LY_BJFc3NQ7Wq1K2lL-71pLp6snKmHswsnU8pSGKM3jkv8A', 'tradable': 1, 'name': 'P90 | Chopper (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Chopper (Battle-Scarred)', 'market_hash_name': 'P90 | Chopper (Battle-Scarred)', 'commodity': 0}",$0.39
P90 | Chopper (Factory New),P90 | Chopper (Factory New),148,141,$1.41,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902765944', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FABz7OORIQJE-dC6q5SDhfjgJ7fUqWdY781lxL6R8Iqj0FDj-0VtZDyhJ4edJwRqN1jVr1G3l-nnhZK4tMzImyM1unQ8pSGK75hLHr0', 'tradable': 1, 'name': 'P90 | Chopper (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Chopper (Factory New)', 'market_hash_name': 'P90 | Chopper (Factory New)', 'commodity': 0}",$1.35
P90 | Chopper (Field-Tested),P90 | Chopper (Field-Tested),2036,39,$0.39,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4772322245', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FABz7OORIQJE-dC6q5SDhfjgJ7fUqWZU7Mxkh6fEpoml2Fbj-RFuY2_xLITBewVrZ1DTrgXtw7vnjJC-tJibySA3syQk-z-DyMine1-Q', 'tradable': 1, 'name': 'P90 | Chopper (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Chopper (Field-Tested)', 'market_hash_name': 'P90 | Chopper (Field-Tested)', 'commodity': 0}",$0.38
P90 | Chopper (Minimal Wear),P90 | Chopper (Minimal Wear),260,73,$0.73,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1812813349', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FABz7OORIQJE-dC6q5SDhfjgJ7fUqWdY781lxL6R8Iqj0FDj-0VtZDyhJ4edJwRqN1jVr1G3l-nnhZK4tMzImyM1unQ8pSGK75hLHr0', 'tradable': 1, 'name': 'P90 | Chopper (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Chopper (Minimal Wear)', 'market_hash_name': 'P90 | Chopper (Minimal Wear)', 'commodity': 0}",$0.70
P90 | Chopper (Well-Worn),P90 | Chopper (Well-Worn),230,53,$0.53,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1812968029', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FABz7OORIQJE-dC6q5SDhfjgJ7fUqWZU7Mxkh6fEpoml2Fbj-RFuY2_xLITBewVrZ1DTrgXtw7vnjJC-tJibySA3syQk-z-DyMine1-Q', 'tradable': 1, 'name': 'P90 | Chopper (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Chopper (Well-Worn)', 'market_hash_name': 'P90 | Chopper (Well-Worn)', 'commodity': 0}",$0.51
P90 | Cocoa Rampage (Battle-Scarred),P90 | Cocoa Rampage (Battle-Scarred),462,10,$0.10,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4141779256', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJG5dK5q5KKmuf1NL7unm5Q_tw_j-qRoNih3wDn_hU6a2z7JNeRcgBvZFjZ-wO7xbzphMW07cnOwXRn6D5iuyiMmdHK-A', 'tradable': 1, 'name': 'P90 | Cocoa Rampage (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Cocoa Rampage (Battle-Scarred)', 'market_hash_name': 'P90 | Cocoa Rampage (Battle-Scarred)', 'commodity': 0}",$0.09
P90 | Cocoa Rampage (Factory New),P90 | Cocoa Rampage (Factory New),126,35,$0.35,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901473960', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJG5dK5q5KKmuf1NL7ummJW4NE_2LuSpNuh2lLk_kBrZj3wJ4GVJANoaQ6CqVbole25hsC6vp6Yn3Rrsj5iuyh9vBcdFw', 'tradable': 1, 'name': 'P90 | Cocoa Rampage (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Cocoa Rampage (Factory New)', 'market_hash_name': 'P90 | Cocoa Rampage (Factory New)', 'commodity': 0}",$0.34
P90 | Cocoa Rampage (Field-Tested),P90 | Cocoa Rampage (Field-Tested),417,12,$0.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4899001835', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJG5dK5q5KKmuf1NL7um25V4dB8xLmXpNqgjgSxrRc6ZjilJ4Odcw83aArTrFm3k73q1sXtvZ_MmnFquXY8pSGKSAEoxo0', 'tradable': 1, 'name': 'P90 | Cocoa Rampage (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Cocoa Rampage (Field-Tested)', 'market_hash_name': 'P90 | Cocoa Rampage (Field-Tested)', 'commodity': 0}",$0.11
P90 | Cocoa Rampage (Minimal Wear),P90 | Cocoa Rampage (Minimal Wear),137,19,$0.19,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4141779253', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJG5dK5q5KKmuf1NL7ummJW4NE_2LuSpNuh2lLk_kBrZj3wJ4GVJANoaQ6CqVbole25hsC6vp6Yn3Rrsj5iuyh9vBcdFw', 'tradable': 1, 'name': 'P90 | Cocoa Rampage (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Cocoa Rampage (Minimal Wear)', 'market_hash_name': 'P90 | Cocoa Rampage (Minimal Wear)', 'commodity': 0}",$0.18
P90 | Cocoa Rampage (Well-Worn),P90 | Cocoa Rampage (Well-Worn),245,11,$0.11,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4141779985', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJG5dK5q5KKmuf1NL7um25V4dB8xLmXpNqgjgSxrRc6ZjilJ4Odcw83aArTrFm3k73q1sXtvZ_MmnFquXY8pSGKSAEoxo0', 'tradable': 1, 'name': 'P90 | Cocoa Rampage (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Cocoa Rampage (Well-Worn)', 'market_hash_name': 'P90 | Cocoa Rampage (Well-Worn)', 'commodity': 0}",$0.10
P90 | Cold Blooded (Factory New),P90 | Cold Blooded (Factory New),112,10525,$105.25,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310777047', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FAZt7ODEeClK6c6JhNnbqPv9NLPF2D4Ju8Qo2uqXo9Sg0Fey-xA_YWnxIYXBcFA6MFiCr1C_x-a61MLu78zXiSw00t3nOkI', 'tradable': 1, 'name': 'P90 | Cold Blooded (Factory New)', 'name_color': 'D2D2D2', 'type': 'Classified SMG', 'market_name': 'P90 | Cold Blooded (Factory New)', 'market_hash_name': 'P90 | Cold Blooded (Factory New)', 'commodity': 0}",$100.68
P90 | Cold Blooded (Minimal Wear),P90 | Cold Blooded (Minimal Wear),4,6331,$63.31,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310778219', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FAZt7ODEeClK6c6JhNnbqPv9NLPF2D4Ju8Qo2uqXo9Sg0Fey-xA_YWnxIYXBcFA6MFiCr1C_x-a61MLu78zXiSw00t3nOkI', 'tradable': 1, 'name': 'P90 | Cold Blooded (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Classified SMG', 'market_name': 'P90 | Cold Blooded (Minimal Wear)', 'market_hash_name': 'P90 | Cold Blooded (Minimal Wear)', 'commodity': 0}",$60.56
P90 | Death by Kitty (Field-Tested),P90 | Death by Kitty (Field-Tested),56,3121,$31.21,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901496436', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FAR17PDJZS5J-dC6h7-bzqfLPr7Vn35cppEmiOiQrNqhjATl_0ZoZ2unJoeRdgM3ZwqFqVC8w7_q0ZXqvszKnXd9-n51y-kYrtg', 'tradable': 1, 'name': 'P90 | Death by Kitty (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Covert SMG', 'market_name': 'P90 | Death by Kitty (Field-Tested)', 'market_hash_name': 'P90 | Death by Kitty (Field-Tested)', 'commodity': 0}",$29.86
P90 | Death by Kitty (Minimal Wear),P90 | Death by Kitty (Minimal Wear),40,5791,$57.91,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '986260218', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FAR17PDJZS5J-dC6h7-bzqfLP7LWnn8fuMN32OqU9tmmiQLt-hZuaz2mJITGJgFsZViF-Vi7levs0Z7vupXLz2wj5HegSjteqg', 'tradable': 1, 'name': 'P90 | Death by Kitty (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Covert SMG', 'market_name': 'P90 | Death by Kitty (Minimal Wear)', 'market_hash_name': 'P90 | Death by Kitty (Minimal Wear)', 'commodity': 0}",$55.40
P90 | Death Grip (Battle-Scarred),P90 | Death Grip (Battle-Scarred),71,552,$5.52,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4890006315', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJA7c6zlo-FkuTLMbfEk1RZ7cRnk6eX9Nuh2gyw80dlMWnyd9OUJAM_MF7Q_ATvyb-6jZHo7pvBy3tjvnJx-z-DyMpdQyjJ', 'tradable': 1, 'name': 'P90 | Death Grip (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Death Grip (Battle-Scarred)', 'market_hash_name': 'P90 | Death Grip (Battle-Scarred)', 'commodity': 0}",$5.28
P90 | Death Grip (Factory New),P90 | Death Grip (Factory New),25,906,$9.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903181176', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJA7c6zlo-FkuTLMbfEk1Rd4cJ5nqfCrNytjAKyqEU4ZmqgdoTDdgc4aQnW_gO3kO3t0JLuus_MzXVq7HMq-z-DyDp1RLqf', 'tradable': 1, 'name': 'P90 | Death Grip (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Death Grip (Factory New)', 'market_hash_name': 'P90 | Death Grip (Factory New)', 'commodity': 0}",$8.67
P90 | Death Grip (Field-Tested),P90 | Death Grip (Field-Tested),33,522,$5.22,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901689645', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJA7c6zlo-FkuTLMbfEk1Rc7cF4n-SPotX33wXh_0VqZGz6LY6cdlU7ZwvVqAW5yOjmgsPt6M-amHE1unIm5mGdwULWZEbimA', 'tradable': 1, 'name': 'P90 | Death Grip (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Death Grip (Field-Tested)', 'market_hash_name': 'P90 | Death Grip (Field-Tested)', 'commodity': 0}",$5.00
P90 | Death Grip (Minimal Wear),P90 | Death Grip (Minimal Wear),24,664,$6.64,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '2316444446', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJA7c6zlo-FkuTLMbfEk1Rd4cJ5nqfCrNytjAKyqEU4ZmqgdoTDdgc4aQnW_gO3kO3t0JLuus_MzXVq7HMq-z-DyDp1RLqf', 'tradable': 1, 'name': 'P90 | Death Grip (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Death Grip (Minimal Wear)', 'market_hash_name': 'P90 | Death Grip (Minimal Wear)', 'commodity': 0}",$6.36
P90 | Death Grip (Well-Worn),P90 | Death Grip (Well-Worn),23,468,$4.68,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4896773272', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957OORIQJA7c6zlo-FkuTLMbfEk1Rc7cF4n-SPotX33wXh_0VqZGz6LY6cdlU7ZwvVqAW5yOjmgsPt6M-amHE1unIm5mGdwULWZEbimA', 'tradable': 1, 'name': 'P90 | Death Grip (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'P90 | Death Grip (Well-Worn)', 'market_hash_name': 'P90 | Death Grip (Well-Worn)', 'commodity': 0}",$4.48
P90 | Desert DDPAT (Battle-Scarred),P90 | Desert DDPAT (Battle-Scarred),961,6,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4571593899', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957PfMYTxW09izh4WZg8j8NrrHjyUC65Yk37nHoojx0VDt_hBoZGrxdYDHcw86ZQ7Z-lS3yL3qhJTvvpzJ1zI97bkeOZvB', 'tradable': 1, 'name': 'P90 | Desert DDPAT (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade SMG', 'market_name': 'P90 | Desert DDPAT (Battle-Scarred)', 'market_hash_name': 'P90 | Desert DDPAT (Battle-Scarred)', 'commodity': 0}",$0.05
P90 | Desert DDPAT (Factory New),P90 | Desert DDPAT (Factory New),3310,8,$0.08,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4571592936', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957PfMYTxW09izh4WZg8j4OrzZgiVQ68dzj7GWpt6sjACy_EQ-YWGnJtXGcwNtNFqF8ljtxLrqhZK_uszP1zI97fQq9Yrq', 'tradable': 1, 'name': 'P90 | Desert DDPAT (Factory New)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade SMG', 'market_name': 'P90 | Desert DDPAT (Factory New)', 'market_hash_name': 'P90 | Desert DDPAT (Factory New)', 'commodity': 0}",$0.07
P90 | Desert DDPAT (Field-Tested),P90 | Desert DDPAT (Field-Tested),17144,6,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4571592703', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957PfMYTxW09izh4WZg8j5Nr_Yg2Yf68Qh3uuZpI_w0VC1-BFlNj-iI9SUIQBvZl2Bq1G6w-vv0Z7qvJ_Bm2wj5HfXJQyDPg', 'tradable': 1, 'name': 'P90 | Desert DDPAT (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade SMG', 'market_name': 'P90 | Desert DDPAT (Field-Tested)', 'market_hash_name': 'P90 | Desert DDPAT (Field-Tested)', 'commodity': 0}",$0.05
P90 | Desert DDPAT (Minimal Wear),P90 | Desert DDPAT (Minimal Wear),8164,6,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4571593025', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957PfMYTxW09izh4WZg8j4OrzZgiVQ68dzj7GWpt6sjACy_EQ-YWGnJtXGcwNtNFqF8ljtxLrqhZK_uszP1zI97fQq9Yrq', 'tradable': 1, 'name': 'P90 | Desert DDPAT (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade SMG', 'market_name': 'P90 | Desert DDPAT (Minimal Wear)', 'market_hash_name': 'P90 | Desert DDPAT (Minimal Wear)', 'commodity': 0}",$0.05
P90 | Desert DDPAT (Well-Worn),P90 | Desert DDPAT (Well-Worn),1156,6,$0.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4571608789', 'instanceid': '519977179', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FA957PfMYTxW09izh4WZg8j5Nr_Yg2Yf68Qh3uuZpI_w0VC1-BFlNj-iI9SUIQBvZl2Bq1G6w-vv0Z7qvJ_Bm2wj5HfXJQyDPg', 'tradable': 1, 'name': 'P90 | Desert DDPAT (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Consumer Grade SMG', 'market_name': 'P90 | Desert DDPAT (Well-Worn)', 'market_hash_name': 'P90 | Desert DDPAT (Well-Worn)', 'commodity': 0}",$0.05
P90 | Desert Warfare (Battle-Scarred),P90 | Desert Warfare (Battle-Scarred),5,2912,$29.12,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '469454803', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopuP1FAR17OORIQJR79OkhImehMj8NrrHjyVTvJxz2bmQ8dmkjQW2_EU9YTj7IYWSIVA8ZFDQ_AW2yey80MS1uZ-Y1zI97dvs0wDa', 'tradable': 1, 'name': 'P90 | Desert Warfare (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'P90 | Desert Warfare (Battle-Scarred)', 'market_hash_name': 'P90 | Desert Warfare (Battle-Scarred)', 'commodity': 0}",$27.86
